target_text,normalized_kana,reference_index,wav_path,bank_size,source,status
うっとうしい,ウットーシイ,1,JANON/audio/jpf1/isolated/jpf1_i63.wav,4,JANON_human_native,eligible_for_wavlm_research_only
うっとうしい,ウットーシイ,2,JANON/audio/jpf2/isolated/jpf2_i63.wav,4,JANON_human_native,eligible_for_wavlm_research_only
うっとうしい,ウットーシイ,3,JANON/audio/jpm1/isolated/jpm1_i63.wav,4,JANON_human_native,eligible_for_wavlm_research_only
うっとうしい,ウットーシイ,4,JANON/audio/jpm2/isolated/jpm2_i63.wav,4,JANON_human_native,eligible_for_wavlm_research_only
がっしり,ガッシリ,1,JANON/audio/jpf1/isolated/jpf1_i99.wav,4,JANON_human_native,eligible_for_wavlm_research_only
がっしり,ガッシリ,2,JANON/audio/jpf2/isolated/jpf2_i99.wav,4,JANON_human_native,eligible_for_wavlm_research_only
がっしり,ガッシリ,3,JANON/audio/jpm1/isolated/jpm1_i99.wav,4,JANON_human_native,eligible_for_wavlm_research_only
がっしり,ガッシリ,4,JANON/audio/jpm2/isolated/jpm2_i99.wav,4,JANON_human_native,eligible_for_wavlm_research_only
さっさと,サッサト,1,JANON/audio/jpf1/isolated/jpf1_i98.wav,4,JANON_human_native,eligible_for_wavlm_research_only
さっさと,サッサト,2,JANON/audio/jpf2/isolated/jpf2_i98.wav,4,JANON_human_native,eligible_for_wavlm_research_only
さっさと,サッサト,3,JANON/audio/jpm1/isolated/jpm1_i98.wav,4,JANON_human_native,eligible_for_wavlm_research_only
さっさと,サッサト,4,JANON/audio/jpm2/isolated/jpm2_i98.wav,4,JANON_human_native,eligible_for_wavlm_research_only
ばっちり,バッチリ,1,JANON/audio/jpf1/isolated/jpf1_i74.wav,4,JANON_human_native,eligible_for_wavlm_research_only
ばっちり,バッチリ,2,JANON/audio/jpf2/isolated/jpf2_i74.wav,4,JANON_human_native,eligible_for_wavlm_research_only
ばっちり,バッチリ,3,JANON/audio/jpm1/isolated/jpm1_i74.wav,4,JANON_human_native,eligible_for_wavlm_research_only
ばっちり,バッチリ,4,JANON/audio/jpm2/isolated/jpm2_i74.wav,4,JANON_human_native,eligible_for_wavlm_research_only
オイル,オイル,1,JANON/audio/jpf1/isolated/jpf1_i77.wav,4,JANON_human_native,eligible_for_wavlm_research_only
オイル,オイル,2,JANON/audio/jpf2/isolated/jpf2_i77.wav,4,JANON_human_native,eligible_for_wavlm_research_only
オイル,オイル,3,JANON/audio/jpm1/isolated/jpm1_i77.wav,4,JANON_human_native,eligible_for_wavlm_research_only
オイル,オイル,4,JANON/audio/jpm2/isolated/jpm2_i77.wav,4,JANON_human_native,eligible_for_wavlm_research_only
バグ,バグ,1,JANON/audio/jpf1/isolated/jpf1_i5.wav,4,JANON_human_native,eligible_for_wavlm_research_only
バグ,バグ,2,JANON/audio/jpf2/isolated/jpf2_i5.wav,4,JANON_human_native,eligible_for_wavlm_research_only
バグ,バグ,3,JANON/audio/jpm1/isolated/jpm1_i5.wav,4,JANON_human_native,eligible_for_wavlm_research_only
バグ,バグ,4,JANON/audio/jpm2/isolated/jpm2_i5.wav,4,JANON_human_native,eligible_for_wavlm_research_only
酸味,サンミ,1,JANON/audio/jpf1/isolated/jpf1_i60.wav,4,JANON_human_native,eligible_for_wavlm_research_only
酸味,サンミ,2,JANON/audio/jpf2/isolated/jpf2_i60.wav,4,JANON_human_native,eligible_for_wavlm_research_only
酸味,サンミ,3,JANON/audio/jpm1/isolated/jpm1_i60.wav,4,JANON_human_native,eligible_for_wavlm_research_only
酸味,サンミ,4,JANON/audio/jpm2/isolated/jpm2_i60.wav,4,JANON_human_native,eligible_for_wavlm_research_only
