metric,n,mean,p10,p50,p90,floor_rate,ceiling_rate,dimension,roc_auc
pronunciation_clarity_normal,300,95.0,95.0,95.0,95.0,0.0,0.0,,
pronunciation_clarity_5db_noise,60,82.0,82.0,82.0,82.0,0.0,0.0,,
pronunciation_clarity_low_gain,60,87.6,88.0,88.0,88.0,0.0,0.0,,
rhythm_normal,300,93.69,90.0,95.0,96.0,0.0,0.0,,
rhythm_timing_jitter,300,67.04,58.0,68.0,75.1,0.0,0.0,,
rhythm_equal_fallback,300,72.7733,71.0,73.0,74.0,0.0,0.0,,
fluency_normal,300,92.1133,82.0,95.0,96.0,0.0,0.0,,
fluency_slow,300,80.7733,68.0,83.0,89.0,0.0,0.0,,
fluency_fast,300,80.7133,77.0,80.5,86.0,0.0,0.0,,
fluency_hesitation,300,52.9267,31.0,52.5,74.1,0.0,0.0,,
pitch_normal,300,89.7567,81.0,92.0,97.0,0.0,0.0,,
overall_four_dimension,300,92.6833,88.9,94.0,95.0,0.0,0.0,,
janon_native_fluency_external,284,93.7324,90.0,95.0,96.0,0.0,0.0,,
janon_learner_fluency_external,1692,93.5721,91.0,96.0,96.0,0.0,0.0,,
paired_pronunciation_clarity_normal_vs_pronunciation_clarity_5db_noise,60,13.0,,13.0,,,,pronunciation,1.0
paired_pronunciation_clarity_normal_vs_pronunciation_clarity_low_gain,60,7.4,,7.0,,,,pronunciation,1.0
paired_rhythm_normal_vs_rhythm_timing_jitter,300,26.65,,27.0,,,,rhythm,1.0
paired_fluency_normal_vs_fluency_slow,300,11.34,,12.0,,,,fluency,0.8995
paired_fluency_normal_vs_fluency_fast,300,11.4,,13.0,,,,fluency,0.9146
paired_fluency_normal_vs_fluency_hesitation,300,39.1867,,43.0,,,,fluency,0.9835
