condition,sentence_id,user_speaker,layer,strategy,reference_count,distance
native_leave_one_speaker_out,1,jvs001,6,mean,3,0.291614
native_leave_one_speaker_out,1,jvs001,6,median,3,0.284725
native_leave_one_speaker_out,1,jvs001,6,trimmed_mean,3,0.291614
native_leave_one_speaker_out,1,jvs001,6,nearest,3,0.249745
native_leave_one_speaker_out,1,jvs001,6,top_k_mean,3,0.267235
wrong_target,1,jvs005_other_sentence,6,median,3,0.580138
native_leave_one_speaker_out,1,jvs001,12,mean,3,0.22392
native_leave_one_speaker_out,1,jvs001,12,median,3,0.226601
native_leave_one_speaker_out,1,jvs001,12,trimmed_mean,3,0.22392
native_leave_one_speaker_out,1,jvs001,12,nearest,3,0.202006
native_leave_one_speaker_out,1,jvs001,12,top_k_mean,3,0.214303
wrong_target,1,jvs005_other_sentence,12,median,3,0.514312
native_leave_one_speaker_out,1,jvs001,18,mean,3,0.169927
native_leave_one_speaker_out,1,jvs001,18,median,3,0.168395
native_leave_one_speaker_out,1,jvs001,18,trimmed_mean,3,0.169927
native_leave_one_speaker_out,1,jvs001,18,nearest,3,0.152657
native_leave_one_speaker_out,1,jvs001,18,top_k_mean,3,0.160526
wrong_target,1,jvs005_other_sentence,18,median,3,0.427725
native_leave_one_speaker_out,1,jvs001,24,mean,3,0.212152
native_leave_one_speaker_out,1,jvs001,24,median,3,0.227952
native_leave_one_speaker_out,1,jvs001,24,trimmed_mean,3,0.212152
native_leave_one_speaker_out,1,jvs001,24,nearest,3,0.168912
native_leave_one_speaker_out,1,jvs001,24,top_k_mean,3,0.198432
wrong_target,1,jvs005_other_sentence,24,median,3,0.700882
native_leave_one_speaker_out,1,jvs002,6,mean,3,0.284711
native_leave_one_speaker_out,1,jvs002,6,median,3,0.284725
native_leave_one_speaker_out,1,jvs002,6,trimmed_mean,3,0.284711
native_leave_one_speaker_out,1,jvs002,6,nearest,3,0.279412
native_leave_one_speaker_out,1,jvs002,6,top_k_mean,3,0.282068
wrong_target,1,jvs005_other_sentence,6,median,3,0.555277
native_leave_one_speaker_out,1,jvs002,12,mean,3,0.223328
native_leave_one_speaker_out,1,jvs002,12,median,3,0.226601
native_leave_one_speaker_out,1,jvs002,12,trimmed_mean,3,0.223328
native_leave_one_speaker_out,1,jvs002,12,nearest,3,0.216152
native_leave_one_speaker_out,1,jvs002,12,top_k_mean,3,0.221376
wrong_target,1,jvs005_other_sentence,12,median,3,0.514312
native_leave_one_speaker_out,1,jvs002,18,mean,3,0.170139
native_leave_one_speaker_out,1,jvs002,18,median,3,0.168395
native_leave_one_speaker_out,1,jvs002,18,trimmed_mean,3,0.170139
native_leave_one_speaker_out,1,jvs002,18,nearest,3,0.167824
native_leave_one_speaker_out,1,jvs002,18,top_k_mean,3,0.16811
wrong_target,1,jvs005_other_sentence,18,median,3,0.427725
native_leave_one_speaker_out,1,jvs002,24,mean,3,0.23722
native_leave_one_speaker_out,1,jvs002,24,median,3,0.239592
native_leave_one_speaker_out,1,jvs002,24,trimmed_mean,3,0.23722
native_leave_one_speaker_out,1,jvs002,24,nearest,3,0.212416
native_leave_one_speaker_out,1,jvs002,24,top_k_mean,3,0.226004
wrong_target,1,jvs005_other_sentence,24,median,3,0.700882
native_leave_one_speaker_out,1,jvs003,6,mean,3,0.288376
native_leave_one_speaker_out,1,jvs003,6,median,3,0.279412
native_leave_one_speaker_out,1,jvs003,6,trimmed_mean,3,0.288376
native_leave_one_speaker_out,1,jvs003,6,nearest,3,0.249745
native_leave_one_speaker_out,1,jvs003,6,top_k_mean,3,0.264579
wrong_target,1,jvs005_other_sentence,6,median,3,0.580138
native_leave_one_speaker_out,1,jvs003,12,mean,3,0.225632
