case_id,fixture_type,expected_feedback_type,expected_location,expected_caveat,known_limitation,actual_feedback_type,dimension,severity,confidence,has_location,location,user_message,practice_tip,has_practice_tip,caveat,has_caveat_if_needed,overclaim_risk,visible_message_count,display_score,pass_or_fail
normal_japanese_native,policy_fixture,clear_recording,false,true,positive practice feedback is not a native proficiency claim,clear_recording,pronunciation_clarity,info,medium,False,,这次整体比较清楚，可以继续练习。,下一次保持同样速度，把整句连续读完。,True,这是确认文本后的练习参考，不是教师级评分。,True,False,2,89,PASS
learner_japanese_ok,policy_fixture,clear_recording,false,true,does not diagnose phoneme substitutions,clear_recording,pronunciation_clarity,info,medium,False,,这次整体比较清楚，可以继续练习。,下一次保持同样速度，把整句连续读完。,True,这是确认文本后的练习参考，不是教师级评分。,True,False,2,89,PASS
too_short_japanese,policy_fixture,too_short,false,true,no isolated-word scoring in arbitrary-sentence mode,too_short,recording_quality,medium,high,False,,这段太短，系统还不能稳定判断。,请说一个完整短句，尽量连续读完。,True,证据不足，因此不判断具体发音或音高。,True,False,2,,PASS
random_english_latin,policy_fixture,content_mismatch,false,true,ASR hallucinated Japanese is not exhaustively solved,content_mismatch,content_match,high,high,False,,这次没有确认到可评分的日语内容。,请确认一整句日语文本，再清楚地读一遍。,True,内容未确认时，不显示发音或音高细节。,True,False,2,,PASS
flat_pitch,component_fixture,flat_pitch,false,true,weak naturalness only,flat_pitch,pitch_naturalness,mild,medium,False,,音高变化仅供参考：这次整体可能有点平。,先稍微夸张地做出高低变化，再回到自然程度。,True,音高变化仅供自然度练习参考，不是严格高低重音判定。,True,False,2,89,PASS
random_pitch,component_fixture,unstable_pitch,false,true,weak naturalness only,unstable_pitch,pitch_naturalness,mild,medium,False,,音高变化仅供参考：这次起伏可能有些不稳定。,先听一遍示范，只模仿整句起伏，不要逐拍硬贴。,True,音高变化仅供自然度练习参考，不是严格高低重音判定。,True,False,2,89,PASS
low_f0_coverage,component_fixture,low_f0_coverage,false,true,does not imply pitch is wrong,low_f0_coverage,pitch_naturalness,info,high,False,,这次能读到的音高信息太少，暂时不显示音高变化判断。,保持自然音量，再连续读一遍完整短句。,True,这里只说明证据不足，不代表音高有问题。,True,False,2,89,PASS
long_pause_many,policy_fixture,long_pause,false,false,pause location is not available from the aggregate pause counter,long_pause,fluency,medium,high,False,,这次有 6 次较长停顿，整句听起来不够连续。,先找好短语边界，再一口气读完整个短句。,True,,True,False,2,89,PASS
fast_rate,policy_fixture,fast_rate,false,false,rate threshold remains a lightweight practice heuristic,fast_rate,fluency,medium,high,False,,这次语速偏快，部分拍可能挤在一起。,下一次先用大约 80% 的速度读，不要急着连读。,True,,True,False,2,89,PASS
special_mora_long_vowel_short,policy_fixture,special_mora_duration_issue,true,false,verified fixed-reference fixture only,special_mora_duration_issue,rhythm_special_mora,medium,high,True,"{'mora_index': 2, 'mora_text': 'ー', 'nearby_kana': 'ラーメ', 'time_range_sec': [0.2, 0.23]}",第 2 拍「ー」可能偏短，长音听起来不够完整。,把「ラーメ」拆成拍练：前一个音一拍，「ー」再留一拍。,True,,True,False,2,92,PASS
special_mora_nasal_short,policy_fixture,special_mora_duration_issue,true,false,verified fixed-reference fixture only,special_mora_duration_issue,rhythm_special_mora,medium,high,True,"{'mora_index': 4, 'mora_text': 'ン', 'nearby_kana': 'メンヲ', 'time_range_sec': [0.6, 0.63]}",第 4 拍「ン」可能偏短，拨音不够清楚。,把「ン」单独留出一拍，不要直接滑到后面的音。,True,,True,False,2,92,PASS
alignment_fallback,policy_fixture,alignment_uncertain,false,true,no mora or pitch details may be asserted,alignment_uncertain,pronunciation_clarity,medium,medium,False,,这次每一拍的位置没有稳定对齐，细节先不下结论。,先按一拍一拍慢读，再把整句连起来重读。,True,对齐不稳定，因此不提示具体拍或音高错误。,True,False,2,,PASS
