sample_id,wav_path,source,speaker,expected_category,target_text,cache_path,mode,transcript,user_confirmed_text,reference_relation,wav_sha256,runnable,notes
native_jvs001_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,JVS_parallel100,jvs001,native,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,self,ad812d499e23ff37929402915cdf8d3034b6bc602b8471bb6a504d5432c19869,true,
native_jvs002_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,JVS_parallel100,jvs002,native,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,40298305cd0b063143ad5e5a7623f2a49d3c846aa6f535adfe682c19b7abbffd,true,
native_jvs003_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,JVS_parallel100,jvs003,native,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,b538f57686020e37cb82cfeda8dc7c369c4ffb174510a70344b7523fce0fb774,true,
native_jvs004_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs004/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,JVS_parallel100,jvs004,native,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,b649b5493833c45bb2eb362342e73038bd110766d82e19d90865578ef34d2fe8,true,
native_jvs001_s002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,JVS_parallel100,jvs001,native,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_002/ref_jvs001_8c1c3bb172,reference,,,self,558ddcc97deed53b4cd00c520e1d8613464c77e45bb190b712de0ce0d3d94daa,true,
native_jvs002_s002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,JVS_parallel100,jvs002,native,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_002/ref_jvs001_8c1c3bb172,reference,,,different_speaker,d38686b3138f9b2b8eec4b7f3072ae63249f49d146885e79ea6ed8f7b166a0bd,true,
native_jvs003_s003,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,JVS_parallel100,jvs003,native,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_003/ref_jvs001_294466d72d,reference,,,different_speaker,4d9a3b60e4b80ccdc13e1ee771d49b73351ec784afa7f5b6a31725bbf1fda9b6,true,
native_jvs004_s004,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs004/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,JVS_parallel100,jvs004,native,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_004/ref_jvs001_1dc1b21560,reference,,,different_speaker,a81a605ebddeab7c6916d8fc9546de2726d7ca6410936400b88a107e7ec97768,true,
native_jvs002_s005,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,JVS_parallel100,jvs002,native,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_005/ref_jvs001_97b65d9963,reference,,,different_speaker,a9ac8a082fc5a436607b4675e6a1b497dee0198b757266294118bae6e242aec2,true,
native_jvs005_s005,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs005/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,JVS_parallel100,jvs005,native,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_005/ref_jvs001_97b65d9963,reference,,,different_speaker,b3e8a18a4436cff48a544839f83862507d810c9f39dcb624cf42dc30719f9dba,true,
