target_text,kana,phones,moras,frontend_distribution,frontend_version
それは、かっこです。,ソレワカッコデス,s o r e w a pau k a cl k o d e s U,ソ レ ワ カ ッ コ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、おばあさんです。,ソレワオバーサンデス,s o r e w a pau o b a a s a N d e s U,ソ レ ワ オ バ ー サ ン デ ス,pyopenjtalk-plus,0.4.1.post8
それは、みんなです。,ソレワミンナデス,s o r e w a pau m i N n a d e s U,ソ レ ワ ミ ン ナ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、きゃくです。,ソレワキャクデス,s o r e w a pau ky a k u d e s U,ソ レ ワ キャ ク デ ス,pyopenjtalk-plus,0.4.1.post8
それは、ゆめです。,ソレワユメデス,s o r e w a pau y u m e d e s U,ソ レ ワ ユ メ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、ふねです。,ソレワフネデス,s o r e w a pau f u n e d e s U,ソ レ ワ フ ネ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、つきです。,ソレワツキデス,s o r e w a pau ts u k i d e s U,ソ レ ワ ツ キ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、すしです。,ソレワスシデス,s o r e w a pau s u sh i d e s U,ソ レ ワ ス シ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、バスです。,ソレワバスデス,s o r e w a pau b a s u d e s U,ソ レ ワ バ ス デ ス,pyopenjtalk-plus,0.4.1.post8
それは、かぎです。,ソレワカギデス,s o r e w a pau k a g i d e s U,ソ レ ワ カ ギ デ ス,pyopenjtalk-plus,0.4.1.post8
ラーメンをください。,ラーメンヲクダサイ,r a a m e N o k u d a s a i,ラ ー メ ン ヲ ク ダ サ イ,pyopenjtalk-plus,0.4.1.post8
すきです。,スキデス,s U k i d e s U,ス キ デ ス,pyopenjtalk-plus,0.4.1.post8
ピクニックに行きます。,ピクニックニイキマス,p i k u n i cl k u n i i k i m a s U,ピ ク ニ ッ ク ニ イ キ マ ス,pyopenjtalk-plus,0.4.1.post8
バスケットをします。,バスケットヲシマス,b a s U k e cl t o o sh i m a s U,バ ス ケ ッ ト ヲ シ マ ス,pyopenjtalk-plus,0.4.1.post8
サンドイッチを食べます。,サンドイッチヲタベマス,s a N d o i cl ch i o t a b e m a s U,サ ン ド イ ッ チ ヲ タ ベ マ ス,pyopenjtalk-plus,0.4.1.post8
それは、さんぽです。,ソレワサンポデス,s o r e w a pau s a N p o d e s U,ソ レ ワ サ ン ポ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、りんごです。,ソレワリンゴデス,s o r e w a pau r i N g o d e s U,ソ レ ワ リ ン ゴ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、ほんだなです。,ソレワホンダナデス,s o r e w a pau h o N d a n a d e s U,ソ レ ワ ホ ン ダ ナ デ ス,pyopenjtalk-plus,0.4.1.post8
それは、びょういんです。,ソレワビョーインデス,s o r e w a pau by o o i N d e s U,ソ レ ワ ビョ ー イ ン デ ス,pyopenjtalk-plus,0.4.1.post8
それは、しゅじんです。,ソレワシュジンデス,s o r e w a pau sh u j i N d e s U,ソ レ ワ シュ ジ ン デ ス,pyopenjtalk-plus,0.4.1.post8
それは、からだです。,ソレワカラダデス,s o r e w a pau k a r a d a d e s U,ソ レ ワ カ ラ ダ デ ス,pyopenjtalk-plus,0.4.1.post8
