sample_id,audio_path,target_text,audio_type,reference_type,expected_behavior,notes
jvs_native_placeholder_001,data/audit/examples/jvs_native_001.wav,ラーメンをください,jvs_native_clear,human_reference,native_should_score_high,placeholder row; replace with real JVS/native audio before running audit
jvs_native_placeholder_002,data/audit/examples/jvs_native_diff_speaker_001.wav,ラーメンをください,jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,placeholder row for same target read by another native speaker
janon_clear_placeholder_001,data/audit/examples/janon_clear_001.wav,ラーメンをください,janon_learner_clear,tts_reference,clear_learner_should_score,placeholder row for clear learner reading
janon_bad_placeholder_001,data/audit/examples/janon_bad_001.wav,ラーメンをください,janon_learner_bad,tts_reference,bad_learner_should_not_score_high,placeholder row for learner sample expected not to receive high score
wrong_sentence_placeholder_001,data/audit/examples/wrong_sentence_001.wav,ラーメンをください,wrong_japanese_sentence,tts_reference,content_mismatch_should_not_score,placeholder negative control
english_placeholder_001,data/audit/examples/english_001.wav,ラーメンをください,english_or_chinese_speech,tts_reference,content_mismatch_should_not_score,placeholder negative control
noise_placeholder_001,data/audit/examples/noise_or_silence_001.wav,ラーメンをください,noise_or_silence,tts_reference,recording_bad_should_not_score,placeholder recording-quality negative control
fallback_placeholder_001,data/audit/examples/fallback_alignment_001.wav,ラーメンをください,fallback_alignment_case,tts_reference,alignment_bad_should_not_score,placeholder alignment instability case
weak_reference_placeholder_001,data/audit/examples/weak_reference_001.wav,ラーメンをください,self_recording_clear,weak_reference,weak_reference_should_not_score,placeholder weak-reference case; fixed-reference audit should not treat it as strict score
unverified_pitch_placeholder_001,data/audit/examples/unverified_pitch_001.wav,コーヒーをください,self_recording_clear,tts_reference,pitch_unverified_should_suppress_pitch,placeholder target whose pitch target is not OJAD/manual verified
