case_id,target_text,focus,provider_slot,external_provider_called,result_source,fixture_available,audio_readable,audio_path,sample_rate,duration_sec,f0_coverage,mora_timing_quality,mora_timing_source,pitch_range_log,local_pitch_movement,final_intonation_score,g2p_kana_match,openjtalk_full_context_available,provenance,sidecar_reliability,strong_pitch_reference_allowed,user_facing_status,notes,reference_source
ramen_kudasai,ラーメンをください,general_short_sentence,current_pyopenjtalk,False,existing_local_cache_replay,True,True,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/cache/ramen_kudasai.ref.wav,16000,1.088,1.0,approximate,equal_mora,0.349,0.9172,0.98,1.0,True,synthetic_tts,weak,False,weak_demo_reference,current packaged pseudo reference exists,pyopenjtalk_tts_pseudo_reference
ramen_kudasai,ラーメンをください,general_short_sentence,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,current packaged pseudo reference exists; run_marine candidate not invoked,
ramen_kudasai,ラーメンをください,general_short_sentence,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,current packaged pseudo reference exists; external candidate output not supplied,
ramen_kudasai,ラーメンをください,general_short_sentence,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,current packaged pseudo reference exists; external candidate output not supplied,
ramen_kudasai,ラーメンをください,general_short_sentence,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,current packaged pseudo reference exists,
coffee_kudasai,コーヒーをください,long_vowel,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio,
coffee_kudasai,コーヒーをください,long_vowel,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; run_marine candidate not invoked,
coffee_kudasai,コーヒーをください,long_vowel,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
coffee_kudasai,コーヒーをください,long_vowel,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
coffee_kudasai,コーヒーをください,long_vowel,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,packaged target lacks verified human audio,
sumimasen,すみません,nasal,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio,
