sample_id,speaker_id,utterance_id,target_text,target_kana,target_mora_count,audio_path,lab_path,target_mode,alignment_mode,prosody_score,f0_coverage,contour_corr,contour_rmse,transition_agreement,hl_match,accent_drop_match,final_intonation_score,voiced_mora_count,valid_f0_mora_count,pitch_target_source,hl_target_source,pitch_target_consistency,gate_reason,unavailable_reason,component_contour,component_transition,component_final,component_hl,weight_contour,weight_transition,weight_final,weight_hl,notes
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,current_openjtalk_target,equal,57,0.8478,-0.038551011109396634,1.4409946894054273,0.5588235294117646,0.5128205128205128,0.4444444444444444,100,39,39,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,,,0.48246021585975196,0.5588235294117646,1.0,0.5128205128205128,0.55,0.25,0.12,0.08,existing runtime path with trimmed audio and equal mora boundaries
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,current_openjtalk_target_lab_alignment,lab_or_reference_alignment,55,1.0,0.06515914584731762,1.3680890222527387,0.653061224489796,0.5217391304347826,0.3333333333333333,45,46,46,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,,,0.5241773347547557,0.653061224489796,0.45,0.5217391304347826,0.55,0.25,0.12,0.08,JVS monophone lab timing mapped sequentially to target moras; f0_method=pyworld.dio+stonemask; mapping_warnings=none
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,self_oracle_contour_target,lab_or_reference_alignment,100,1.0,1.0,0.0,1.0,1.0,,100,46,46,tts_reference,manual,trusted,,,1.0,1.0,1.0,1.0,0.43,0.25,0.12,0.2,same native mora-level F0 used as both user contour and reference target
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,smoothed_self_target,lab_or_reference_alignment,87,1.0,0.9496012445040226,0.3174862272752322,0.8933518005540166,0.9565217391304348,1.0,45,46,46,tts_reference,manual,trusted,,,0.9383250886508667,0.8933518005540166,0.45,0.9565217391304348,0.43,0.25,0.12,0.2,same native contour smoothed with a 3-point mora-level kernel as reference target
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,shifted_self_target_-1_mora,lab_or_reference_alignment,74,1.0,0.578693400198044,0.9020986757997832,0.5974212034383953,0.7608695652173914,0.5,100,46,46,tts_reference,manual,trusted,,,0.7436305146181725,0.5974212034383953,1.0,0.7608695652173914,0.43,0.25,0.12,0.2,self reference shifted by one mora to quantify alignment sensitivity
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,shifted_self_target_+1_mora,lab_or_reference_alignment,68,1.0,0.5786934001980442,0.9228487963796177,0.6206349206349205,0.7608695652173914,,45,46,46,tts_reference,manual,trusted,,,0.7416582159683056,0.6206349206349205,0.45,0.7608695652173914,0.43,0.25,0.12,0.2,self reference shifted by one mora to quantify alignment sensitivity
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,flat_user_contour_vs_self_target,lab_or_reference_alignment,54,1.0,0.0,0.9999999710358404,0.30962343096234307,0.5869565217391305,,100,46,46,tts_reference,manual,trusted,,,0.5319592005489376,0.30962343096234307,1.0,0.5869565217391305,0.43,0.25,0.12,0.2,user contour flattened while target/reference remains native self contour
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_001.lab,shuffled_user_contour_vs_self_target,lab_or_reference_alignment,60,1.0,0.001036583920789101,1.4134803558669702,0.5983263598326359,0.5652173913043478,,100,46,46,tts_reference,manual,trusted,,,0.4983376499080504,0.5983263598326359,1.0,0.5652173913043478,0.43,0.25,0.12,0.2,valid user F0 values shuffled while target/reference remains native self contour
jvs001:VOICEACTRESS100_002,jvs001,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_002.lab,current_openjtalk_target,equal,67,0.9423,0.21159562264438772,1.2565897021682864,0.7204301075268817,0.6122448979591837,0.2,100,49,49,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,,,0.5841086851385306,0.7204301075268817,1.0,0.6122448979591837,0.55,0.25,0.12,0.08,existing runtime path with trimmed audio and equal mora boundaries
jvs001:VOICEACTRESS100_002,jvs001,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/lab/mon/VOICEACTRESS100_002.lab,current_openjtalk_target_lab_alignment,lab_or_reference_alignment,81,0.9808,0.5278251900236438,0.9743896204269331,0.929054054054054,0.803921568627451,1.0,100,51,51,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,,,0.7190430185532282,0.929054054054054,1.0,0.803921568627451,0.55,0.25,0.12,0.08,JVS monophone lab timing mapped sequentially to target moras; f0_method=pyworld.dio+stonemask; mapping_warnings=none
