dataset,case_name,utterance_id,target_text,speaker,mora_count,weak_prosody_naturalness_score,weak_available,weak_unavailable_reason,f0_coverage,voiced_mora_count,valid_f0_mora_count,utterance_f0_range_log,local_pitch_movement,transition_smoothness,flatness_penalty,strict_openjtalk_prosody_score,score_type,strict_reference_available,tone_score_in_core_four,notes,native_language,weak_overall_practice_score,alignment_mode
JVS,jvs_native,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs002,46,95,True,,1.0,46,46,0.5666,0.5504,0.8153,0.0,58,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs002,46,9,True,,1.0,46,46,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs002,46,49,True,,1.0,46,46,0.5666,1.1998,0.3567,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs002,46,85,True,,1.0,46,46,0.5944,0.706,0.6692,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs002,46,,False,insufficient_valid_mora_f0,0.0435,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,jvs002,52,91,True,,0.9615,50,50,0.6004,0.5388,0.7769,0.0,80,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,jvs002,52,9,True,,0.9615,50,50,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,jvs002,52,49,True,,0.9615,50,50,0.6004,1.0783,0.3832,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,jvs002,52,91,True,,0.9808,51,51,0.6257,0.5176,0.7699,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,jvs002,52,,False,insufficient_valid_mora_f0,0.0385,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,jvs002,40,95,True,,1.0,40,40,0.6617,0.483,0.8025,0.0,73,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,jvs002,40,9,True,,1.0,40,40,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,jvs002,40,51,True,,1.0,40,40,0.6617,1.0787,0.3938,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,jvs002,40,94,True,,1.0,40,40,0.6705,0.5168,0.7754,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,jvs002,40,,False,insufficient_valid_mora_f0,0.05,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,jvs002,38,94,True,,1.0,38,38,0.5741,0.6641,0.7673,0.0,72,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,jvs002,38,9,True,,1.0,38,38,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,jvs002,38,46,True,,1.0,38,38,0.5741,1.2431,0.2566,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,jvs002,38,87,True,,1.0,38,38,0.5823,0.6968,0.6752,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,jvs002,38,,False,insufficient_valid_mora_f0,0.0526,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,jvs002,67,92,True,,0.9851,66,66,0.5813,0.6274,0.7589,0.0,60,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,jvs002,67,9,True,,0.9851,66,66,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,jvs002,67,44,True,,0.9851,66,66,0.5813,1.2354,0.2855,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,jvs002,67,93,True,,0.9851,66,66,0.6239,0.6327,0.7525,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,jvs002,67,,False,insufficient_valid_mora_f0,0.0299,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,jvs002,26,97,True,,1.0,26,26,0.5891,0.4918,0.88,0.0,83,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,jvs002,26,9,True,,1.0,26,26,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,jvs002,26,67,True,,1.0,26,26,0.5891,0.9473,0.5469,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,jvs002,26,93,True,,1.0,26,26,0.5891,0.5634,0.7489,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,jvs002,26,,False,insufficient_valid_mora_f0,0.0769,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,jvs002,53,94,True,,0.9811,52,52,0.5963,0.6304,0.7612,0.0,72,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,jvs002,53,9,True,,0.9811,52,52,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,jvs002,53,47,True,,0.9811,52,52,0.5963,1.1703,0.2544,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,jvs002,53,90,True,,0.9811,52,52,0.6062,0.6669,0.718,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,jvs002,53,,False,insufficient_valid_mora_f0,0.0377,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,jvs002,46,93,True,,0.9783,45,45,0.49,0.6478,0.748,0.0,68,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,jvs002,46,9,True,,0.9783,45,45,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,jvs002,46,45,True,,0.9783,45,45,0.49,1.2717,0.2266,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,jvs002,46,93,True,,0.9783,45,45,0.5019,0.6612,0.7349,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
