pair_id,utterance_id,target_text,mora_count,accent_phrase_count,accent_drop_target_count,drop_indices,changed_indices,changed_drop_overlap_count,native_score,wrong_drop_score,score_delta_native_minus_wrong,native_accent_drop_match,wrong_accent_drop_match,native_transition,wrong_transition,transition_delta,transition_weight,approx_transition_score_loss,native_contour,wrong_contour,contour_delta,contour_weight,approx_contour_score_loss,native_hl,wrong_hl,final_delta,diagnosis
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,46,12,1,6,3 7 10 15 28 33 36 42 44,0,91,85,6,1.0,0.0,0.9210526315789473,0.7977839335180056,0.12326869806094176,0.25,3.0817,0.8941575665981139,0.8450281234202,0.0491294431779139,0.55,2.7021,0.8913043478260869,0.8478260869565217,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,52,8,1,29,8 17 22 24 30 43,0,81,75,6,0.0,0.0,0.85,0.7741935483870968,0.07580645161290323,0.25,1.8952,0.8693699550562533,0.8093531742480528,0.0600167808082005,0.55,3.3009,0.8,0.7058823529411765,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_003,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,40,7,0,,6 10 19 32 38,0,87,87,0,,,0.7839195979899498,0.7839195979899498,0.0,0.25,0.0,0.8870431223638711,0.8777252951521027,0.009317827211768326,0.55,0.5125,0.85,0.85,0.0,no_explicit_accent_drop_target
jvs001->jvs002:VOICEACTRESS100_004,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,38,7,2,12 23,13 18 21 24 32,0,93,87,6,1.0,0.0,0.9756888168557536,0.8346839546191248,0.14100486223662878,0.25,3.5251,0.9040325938190164,0.873398537029783,0.030634056789233366,0.55,1.6849,0.8947368421052632,0.8157894736842105,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_005,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,67,13,0,,1 13 19 26 36 44 48 53 60,0,89,88,1,,,0.8243761996161229,0.7840690978886756,0.040307101727447225,0.25,1.0077,0.8931832979673386,0.8862764870380577,0.0069068109292809154,0.55,0.3799,0.9242424242424242,0.9090909090909091,0.0,no_explicit_accent_drop_target
jvs001->jvs002:VOICEACTRESS100_006,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,26,5,2,6 16,1 7 17,0,96,88,8,1.0,0.0,0.9389312977099239,0.7557251908396947,0.1832061068702292,0.25,4.5802,0.9544072097462409,0.9021724209441967,0.05223478880204424,0.55,2.8729,0.9615384615384616,0.8846153846153846,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_007,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,53,10,1,25,13 26 33 43 48,0,81,81,0,0.0,0.0,0.7785977859778597,0.7970479704797047,-0.01845018450184499,0.25,-0.4613,0.8920521216412791,0.8828491950458213,0.00920292659545785,0.55,0.5062,0.8269230769230769,0.8653846153846154,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_008,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,46,10,2,8 31,9 13 20 24 32 35,0,85,81,4,0.5,0.0,0.7836734693877552,0.6612244897959184,0.12244897959183676,0.25,3.0612,0.8670742049774159,0.8383385117024599,0.028735693274956065,0.55,1.5805,0.7333333333333333,0.7555555555555555,0.0,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_009,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,39,8,0,,10 17 23,0,90,89,1,,,0.8900000000000001,0.8750000000000001,0.015000000000000013,0.25,0.375,0.8986398901026312,0.8881213167562968,0.010518573346334437,0.55,0.5785,0.8461538461538461,0.7948717948717948,0.0,no_explicit_accent_drop_target
jvs001->jvs002:VOICEACTRESS100_010,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,28,4,0,,4 13 21,0,87,84,3,,,0.784313725490196,0.718954248366013,0.065359477124183,0.25,1.634,0.889644125520267,0.8710909042836681,0.01855322123659886,0.55,1.0204,0.8571428571428571,0.7857142857142857,0.0,no_explicit_accent_drop_target
jvs001->jvs002:VOICEACTRESS100_011,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,43,9,1,22,18 23 28 33 39,0,87,76,11,1.0,0.0,0.8562874251497004,0.6991017964071854,0.15718562874251496,0.25,3.9296,0.9077180309841566,0.8378639213769262,0.06985410960723037,0.55,3.842,0.8333333333333334,0.7906976744186046,0.19999999999999996,drop_changed_but_no_explicit_drop_component
jvs001->jvs002:VOICEACTRESS100_012,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,31,6,0,,16,0,82,82,0,,,0.7063829787234042,0.7063829787234042,0.0,0.25,0.0,0.8420876199769894,0.8378854370668083,0.004202182910181151,0.55,0.2311,0.7666666666666667,0.7666666666666667,0.0,no_explicit_accent_drop_target
