sample_id,audio_path,target_text,audio_type,reference_type,expected_behavior,notes
jvs_native_jvs001_001,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,"また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。",jvs_native_clear,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs001_002,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,"ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。",jvs_native_clear,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs001_003,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,"コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。",jvs_native_clear,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs001_004,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,"サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。",jvs_native_clear,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs001_005,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,"シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。",jvs_native_clear,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs002_001,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,"また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。",jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs002_002,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,"ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。",jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs002_003,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,"コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。",jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs002_004,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,"サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。",jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
jvs_native_jvs002_005,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,"シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。",jvs_native_same_text_diff_speaker,human_reference,native_should_score_high,real JVS parallel100 native sample; target_text from transcripts_utf8.txt; audit may expose current arbitrary-target limitations
janon_mandarin_clear_001,../JANON/audio/chf1/sentences/chf1_s46.wav,透き通るほど深く見える,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
janon_mandarin_clear_002,../JANON/audio/chf1/sentences/chf1_s5.wav,パサパサとしたご飯が出た,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
janon_mandarin_clear_003,../JANON/audio/chf1/sentences/chf1_s52.wav,午後から大雨が降るそうです,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
janon_mandarin_clear_004,../JANON/audio/chf1/sentences/chf1_s53.wav,歌は時代を反映する,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
janon_mandarin_clear_005,../JANON/audio/chf1/sentences/chf1_s4.wav,坊主がニコニコ笑っています,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
janon_mandarin_clear_006,../JANON/audio/chf1/sentences/chf1_s47.wav,このあいだの試験は難しすぎる,janon_learner_clear,tts_reference,clear_learner_should_score,real JANON Mandarin L1 sentence sample speaker=chf1; no teacher quality label; trend-only learner sample
neg_wrong_jvs001_001,../JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,ラーメンをください,wrong_japanese_sentence,tts_reference,content_mismatch_should_not_score,real JVS Japanese sentence intentionally paired with ramen target
neg_wrong_jvs002_002,../JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,ラーメンをください,wrong_japanese_sentence,tts_reference,content_mismatch_should_not_score,real JVS Japanese sentence intentionally paired with ramen target
neg_wrong_janon_mandarin_001,../JANON/audio/chf1/sentences/chf1_s46.wav,ラーメンをください,wrong_japanese_sentence,tts_reference,content_mismatch_should_not_score,real JANON Mandarin L1 Japanese sentence intentionally paired with ramen target
neg_partial_ramen_longer_target,data/ramen.wav,ラーメンをください、お願いします,partial_target,tts_reference,content_mismatch_should_not_score,real demo ramen recording intentionally paired with longer target
neg_wrong_ramen_coffee_target,data/ramen.wav,コーヒーをください,wrong_japanese_sentence,tts_reference,content_mismatch_should_not_score,real demo ramen recording intentionally paired with coffee target
edge_weak_reference_ramen,data/ramen.wav,ラーメンをください,weak_reference,weak_reference,weak_reference_should_not_score,uses real demo audio; label checks weak-reference display suppression in audit summary; not a separate ASR mode run
edge_pitch_unverified_coffee,data/ramen.wav,コーヒーをください,pitch_unverified_target,tts_reference,pitch_unverified_should_suppress_pitch,uses real demo audio with auto/unverified target; pitch feedback should stay suppressed
edge_fallback_alignment_ramen,data/ramen.wav,ラーメンをください,fallback_alignment_case,tts_reference,alignment_bad_should_not_score,uses real demo audio known to exercise equal-time fallback in prior debug runs
