sample_id,speaker_id,utterance_id,target_text,target_kana,target_mora_count,audio_path,prosody_score,raw_prosody_score,visible_prosody_score,display_score,f0_coverage,pitch_target_source,hl_target_source,pitch_target_consistency,alignment_mode,alignment_fallback,content_match_status,content_match_ok,contour_corr,contour_rmse,transition_agreement,hl_match,accent_drop_match,final_intonation_match,final_intonation_score,voiced_mora_count,valid_f0_mora_count,mora_count,unavailable_reason,gate_reason,component_contour,component_transition,component_final,component_hl,component_dynamics,weight_contour,weight_transition,weight_final,weight_hl,feedback
jvs001:VOICEACTRESS100_001,jvs001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,57,57,,98,0.8478,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,-0.038551011109396634,1.4409946894054273,0.5588235294117646,0.5128205128205128,0.4444444444444444,True,100,39,39,46,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,0.48246021585975196,0.5588235294117646,1.0,0.5128205128205128,0.3528160755225369,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_002,jvs001,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,67,67,,99,0.9423,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.21159562264438772,1.2565897021682864,0.7204301075268817,0.6122448979591837,0.2,True,100,49,49,52,debug_only_by_profile;no_correction_needed,debug_only_by_profile;no_correction_needed,0.5841086851385306,0.7204301075268817,1.0,0.6122448979591837,0.41334793103194273,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_003,jvs001,VOICEACTRESS100_003,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,コンピュータゲームノメーカーヤギョーカイダンタイナドニカンレンスルジンブツノカテゴリ,40,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,73,73,,100,0.95,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.3663219685249042,1.1298435069620751,0.7963800904977376,0.6842105263157895,0.4,True,100,38,38,40,no_correction_needed;debug_only_by_profile,no_correction_needed;debug_only_by_profile,0.6487340751938617,0.7963800904977376,1.0,0.6842105263157895,0.6183097361740003,0.55,0.25,0.12,0.08,语速稍快，可能影响清晰度。 | 在「ギョ〜ー」附近，音高可以再抬清楚一点。
jvs001:VOICEACTRESS100_004,jvs001,VOICEACTRESS100_004,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,サービスマネージャードーニューエキノタメオーイマチエキカラエンカクカンリシテイル,38,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,70,70,,100,0.9474,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.3352917361834409,1.1570634141367033,0.7285714285714285,0.6111111111111112,0.5,True,100,36,36,38,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,0.635568427228096,0.7285714285714285,1.0,0.6111111111111112,0.5023902969429792,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_005,jvs001,VOICEACTRESS100_005,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,シルバーサーファーシューゲキジケンマデニリチャーズワチームメートトモニコクサイテキニスーパーヒーローオヨビユーメージントシテニンチサレテイル,67,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,59,59,,90,0.806,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,-0.057549047598983244,1.4540926209129341,0.704081632653061,0.4444444444444444,0.5714285714285714,True,100,54,54,67,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,no_correction_needed;debug_only_by_profile;missing_or_invalid_threshold_metadata,0.47485818449875916,0.704081632653061,1.0,0.4444444444444444,0.35985971971947994,0.55,0.25,0.12,0.08,检测到 6 次较长停顿，流畅度会下降。 | 音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_006,jvs001,VOICEACTRESS100_006,ツュレンハルト領は、ヴュルテンベルク領に編入された。,ツュレンハルトリョーワビュルテンベルクリョーニヘンニューサレタ,26,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_006.wav,82,82,,100,0.9615,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.6999251646751523,0.7927372671315692,0.9130434782608695,0.8,1.0,,75,25,25,26,debug_only_by_profile;no_correction_needed,debug_only_by_profile;no_correction_needed,0.7968014022767008,0.9130434782608695,0.75,0.8,0.6417091119657352,0.55,0.25,0.12,0.08,在「ン〜ニュ」附近，音高可以再抬清楚一点。
jvs001:VOICEACTRESS100_007,jvs001,VOICEACTRESS100_007,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,ジカンリョーイキトクーカンリョーイキデキョーツースルショリシュホーワフィルタリングニヨルニューリョクシンゴーノキョーカデアル,53,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_007.wav,61,61,,99,0.9245,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,-0.009160182370143785,1.420663908160118,0.7184115523465705,0.42857142857142855,0.4,True,100,49,49,53,no_correction_needed;debug_only_by_profile,no_correction_needed;debug_only_by_profile,0.4942382425450548,0.7184115523465705,1.0,0.42857142857142855,0.3770823305949726,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_008,jvs001,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,シャンチーノセンギョープロワチームカラシハラワレルキューリョートタイキョクヒヲオモナシューニュートシテイル,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_008.wav,67,67,,97,0.8043,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.21061821699678857,1.2565497974111846,0.8298969072164948,0.6216216216216216,0.75,,75,37,37,46,debug_only_by_profile;no_correction_needed;missing_or_invalid_threshold_metadata,debug_only_by_profile;no_correction_needed;missing_or_invalid_threshold_metadata,0.5837697865762499,0.8298969072164948,0.75,0.6216216216216216,0.47290513839248044,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_009,jvs001,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,マタネジメシワチューサンノーノオサメルリューキューオーコクトノコーエキニモサンカシタ,39,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_009.wav,53,53,,100,0.9487,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,-0.25353334058752225,1.583313416883266,0.6138613861386139,0.43243243243243246,0.0,True,100,37,37,39,debug_only_by_profile;no_correction_needed;missing_or_invalid_threshold_metadata,debug_only_by_profile;no_correction_needed;missing_or_invalid_threshold_metadata,0.3971913895738759,0.6138613861386139,1.0,0.43243243243243246,0.3568370170409139,0.55,0.25,0.12,0.08,音高起伏的走向和示范音不太一致。
jvs001:VOICEACTRESS100_010,jvs001,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,スマートフォンカラフィーチャーフォンマデマルチデバイスニタイオー,28,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_010.wav,81,81,,99,0.9643,openjtalk_accent_phrase_chain,openjtalk_accent_phrase_chain,tool_generated_high,equal,False,unknown,True,0.5596462690432925,0.9388692091008941,0.9240506329113922,0.6666666666666666,0.6666666666666666,True,100,27,27,28,no_correction_needed;debug_only_by_profile,no_correction_needed;debug_only_by_profile,0.7334829166565059,0.9240506329113922,1.0,0.6666666666666666,0.5639518803692402,0.55,0.25,0.12,0.08,有些音高变化出现得稍早或稍晚。
