split,condition,n,mean,p10,p50,p90
dev,flat,100,0.99,1.0,1.0,1.0
dev,native_normal,100,92.7,72.0,100.0,100.0
dev,shuffled,100,9.3,1.0,2.0,18.9
dev,wrong_drop,100,82.03,15.9,98.0,100.0
external_janon_learner,learner_observed,315,64.5016,1.0,90.0,99.0
external_janon_native,native_normal,284,81.3486,13.6,98.0,100.0
locked_test,flat,600,0.9883,1.0,1.0,1.0
locked_test,low_f0,0,,,,
locked_test,native_normal,600,94.855,88.9,99.0,100.0
locked_test,shuffled,600,9.1817,1.0,2.0,23.0
locked_test,wrong_drop,600,86.9633,51.0,98.0,100.0
train,flat,280,0.9786,1.0,1.0,1.0
train,native_normal,280,96.1857,92.0,99.0,100.0
train,shuffled,280,6.9893,1.0,2.0,20.1
train,wrong_drop,280,87.4179,60.7,98.5,100.0
