case_id,input_class,provider_slot,result_source,external_provider_called,target_text,expected_spoken_text,transcript,language,asr_confidence,transcript_exact_normalized,transcript_kana,kana_similarity,japanese_likeness,mora_count,content_gate_status,content_gate_reason,weak_score_visibility_now,weak_score_visibility_if_user_confirms_unchanged,no_score_correct,false_accept_bad_input_if_confirmed,false_reject_good_japanese,hallucination_risk,word_timestamps_available,alignment_usefulness,feedback_location_may_improve,notes,benchmark_mode,combo_id,provider_name,model_name,provider_provenance,tts_setting,tts_is_primary_scoring_variable,api_key_required,combo_notes
native_japanese_normal,good_japanese,current_asr,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,normal native sentence,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
learner_japanese_normal,good_japanese,current_asr,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,learner content is intelligible,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
learner_japanese_with_pronunciation_issue,good_japanese,current_asr,offline_plan_replay,False,コーヒーをください,コーヒーをください,コヒーをください,ja,,False,コヒーヲクダサイ,0.8889,1.0,8,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,ASR normalization can hide pronunciation detail,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
random_english,bad_non_japanese,current_asr,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
latin_dominant_transcript,bad_non_japanese,current_asr,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
code_switching,bad_non_japanese,current_asr,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,mixed,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,Japanese-only practice requires manual confirmation,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
short_japanese,low_evidence_japanese,current_asr,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,False,none,False,content may be correct but evidence remains too short,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
noisy_audio,good_japanese,current_asr,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,False,False,True,False,False,none,False,current ASR unavailable in replay,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
wrong_japanese_sentence,bad_wrong_content,current_asr,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,fixed-target mismatch must reject,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
asr_hallucinated_japanese,bad_non_japanese,current_asr,offline_plan_replay,False,,hello how are you,ラーメンをください,ja,,False,ラーメンヲクダサイ,0.0,1.0,9,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,current-style hallucination risk control,asr_confirmed_weak_reference,current_asr,current_local_asr,current_runtime_model,offline_plan_replay,current_demo_pseudo_reference,False,False,Current product transcript candidate replay
