sample_id,category,source,speaker,old_ok,old_effective_mode,old_score_available,old_display_score,old_practice_score,old_status,old_confidence,old_detail_allowed,old_alignment_mode,old_content_status,old_content_verified,old_japanese_content_plausible,old_asr_transcript,old_pronunciation,old_rhythm,old_fluency,old_pitch,old_policy_mode,old_user_messages,old_error,old_latency_sec,new_ok,new_effective_mode,new_score_available,new_display_score,new_practice_score,new_status,new_confidence,new_detail_allowed,new_alignment_mode,new_content_status,new_content_verified,new_japanese_content_plausible,new_asr_transcript,new_pronunciation,new_rhythm,new_fluency,new_pitch,new_policy_mode,new_user_messages,new_error,new_latency_sec,mode_change,notes
broad_jvs002_s001,broad_mode,JVS_parallel100,jvs002,True,transcript_assisted_light,True,78,78,practice_suggestion,high,False,none,,,,,84,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 当前为 Transcript-assisted light 模式： transcript 只用于估计 mora 数，不生成 TTS reference、不做 DTW，因此不输出具体假名纠错。,,0.133953,True,transcript_assisted_light,True,78,78,practice_suggestion,high,False,none,,,,,84,92,92,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 当前为 Transcript-assisted light 模式： transcript 只用于估计 mora 数，不生成 TTS reference、不做 DTW，因此不输出具体假名纠错。,,0.132809,transcript_assisted_light -> transcript_assisted_light,"Same WAV as native_jvs002_s001, evaluated without fixed-reference claims"
broad_jvs002_s002,broad_mode,JVS_parallel100,jvs002,True,transcript_assisted_light,True,84,84,practice_suggestion,high,False,none,,,,,88,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 当前为 Transcript-assisted light 模式： transcript 只用于估计 mora 数，不生成 TTS reference、不做 DTW，因此不输出具体假名纠错。,,0.111038,True,transcript_assisted_light,True,84,84,practice_suggestion,high,False,none,,,,,88,71,71,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 当前为 Transcript-assisted light 模式： transcript 只用于估计 mora 数，不生成 TTS reference、不做 DTW，因此不输出具体假名纠错。,,0.07515,transcript_assisted_light -> transcript_assisted_light,"Same WAV as the forced ramen mismatch, directly evaluated in broad mode"
demo_ramen_confirmed_weak,weak_reference,demo_recording,unknown,True,asr_confirmed_weak_reference,True,72,72,pass,high,False,cached_dtw,unknown,False,,,52,,,,,確認した文をもとにした練習用フィードバックです。厳密な発音採点ではありません。 | 確認した文をもとにした練習用フィードバックです。細かいアクセント判定は控えています。,,0.746371,True,asr_confirmed_weak_reference,True,72,72,practice_suggestion,high,False,cached_dtw,unknown,False,,,52,100,100,,,確認した文をもとにした練習用フィードバックです。厳密な発音採点ではありません。 | 確認した文をもとにした練習用フィードバックです。細かいアクセント判定は控えています。,,0.727883,asr_confirmed_weak_reference -> asr_confirmed_weak_reference,Real existing demo recording through the user-confirmed weak-reference contract
demo_ramen_fixed,weak_reference,demo_recording,unknown,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.615848,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,100,100,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.629065,reference_based -> reference_based,Real existing demo recording; production cache is a manually reviewed synthetic reference
janon_native_i5,native,JANON,jpf1,True,reference_based,True,75,75,practice_suggestion,high,False,cached_dtw,pass,True,,,60,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.330678,True,reference_based,True,75,75,practice_suggestion,high,False,cached_dtw,pass,True,,,60,88,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.257863,reference_based -> reference_based,
janon_native_i60,native,JANON,jpf1,True,reference_based,True,99,99,practice_suggestion,high,False,cached_dtw,pass,True,,,98,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.303501,True,reference_based,True,99,99,practice_suggestion,high,False,cached_dtw,pass,True,,,98,90,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.272657,reference_based -> reference_based,
janon_native_i63,native,JANON,jpf1,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,98,100,100,,,今回の練習は大きな問題なく確認できました。,,0.354246,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,98,100,100,,,今回の練習は大きな問題なく確認できました。,,0.30025,reference_based -> reference_based,
janon_native_i74,native,JANON,jpf1,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,100,100,100,,,今回の練習は大きな問題なく確認できました。,,0.342146,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,100,100,100,,,今回の練習は大きな問題なく確認できました。,,0.376409,reference_based -> reference_based,
janon_native_i77,native,JANON,jpf1,True,reference_based,True,100,100,practice_suggestion,high,False,cached_dtw,pass,True,,,100,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.329795,True,reference_based,True,100,100,practice_suggestion,high,False,cached_dtw,pass,True,,,100,100,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.273977,reference_based -> reference_based,
janon_native_i98,native,JANON,jpf1,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,98,98,100,,,语速稍慢，但仍然可以理解。,,0.194071,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,98,98,100,,,语速稍慢，但仍然可以理解。,,0.280845,reference_based -> reference_based,
