case_id,input_type,data_source,expected_content_gate,expected_score_visibility,expected_pronunciation_behavior,expected_fluency_behavior,expected_rhythm_behavior,expected_pitch_behavior,expected_user_message,known_limitation,evidence_source,observed_content_gate,observed_score_visibility,observed_pitch_behavior,sample_count,pitch_mean,overall_mean,pass_or_fail,brief_reason
native_japanese_normal,real_native_japanese,JVS native audit,pass,practice_scores_visible,high_practice_reference,visible,visible,high_naturalness,練習用の参考スコアを表示,24 utterances from a small JVS speaker subset; not population calibration,jvs_native,pass,practice scores visible,mean=92.33,24,92.33,,PASS,JVS native pitch-naturalness remains high.
learner_japanese_normal,real_learner_japanese,JANON English-L1 speakers reading Japanese,pass_when_evidence_sufficient,practice_scores_visible_when_evidence_sufficient,practice_reference_only,visible_when_evidence_sufficient,visible_when_evidence_sufficient,naturalness_reference_only,確認文にもとづく練習参考,available JANON sample is small and includes short isolated items,janon_english,pass when evidence sufficient,visible=4/6; no_score=2; capped=1,mean=61.2,6,61.2,78.0,PASS,Evidence-sufficient learner Japanese receives practice feedback; short items remain guarded.
learner_japanese_with_special_mora_issue,policy_fixture,existing product guardrail fixture,pass,practice_score_visible_but_special_mora_feedback_gated,practice_reference_only,visible,gentle_hint_only_when_evidence_is_strong,naturalness_reference_only,証拠が十分な場合だけ特殊拍を穏やかに提示,no dedicated real learner audio in this smoke set,existing product guardrail fixture,pass,practice score visible; special-mora hint gated,weak naturalness only,1,,,PASS,Policy fixture passes; dedicated real learner audio is not covered.
random_english_latin,synthetic_policy_control,weak-reference guardrail,no_score,no_scores,hidden,hidden,hidden,hidden,日本語の確認文を入力してください,ASR hallucinated Japanese is reduced but not exhaustively validated,random_english_latin,no_score,no scores,hidden,1,91.0,,PASS,Language/evidence guardrail prevents a misleading practice score.
latin_dominant_transcript,synthetic_policy_control,weak-reference guardrail,no_score,no_scores,hidden,hidden,hidden,hidden,日本語らしい確認文が必要,code-switching may require manual confirmation,latin_dominant_transcript,no_score,no scores,hidden,1,80.0,,PASS,Language/evidence guardrail prevents a misleading practice score.
very_short_japanese,synthetic_policy_control,weak-reference guardrail,no_score_or_insufficient_evidence,no_scores,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,短すぎて安定して判断できません,isolated-word practice needs a separate product mode,short_japanese_control,no_score,no scores,hidden,1,93.0,,PASS,Language/evidence guardrail prevents a misleading practice score.
flat_pitch_control,f0_counterfactual,JVS timing/content with flat F0,pass,practice_scores_visible,unchanged_by_pitch_control,unchanged_by_pitch_control,unchanged_by_pitch_control,low_naturalness,音高変化が少なく平坦に聞こえる可能性,component-level/semi-audio control,flat_pitch_control,pass,practice scores visible,mean=9.0,24,9.0,,PASS,Flat F0 is clearly below native naturalness.
random_pitch_control,f0_counterfactual,JVS timing/content with shuffled F0,pass,practice_scores_visible,unchanged_by_pitch_control,unchanged_by_pitch_control,unchanged_by_pitch_control,lower_than_native,音高変化の安定性を練習参考として提示,component-level/semi-audio control,shuffled_random_pitch_control,pass,practice scores visible,mean=48.92,24,48.92,,PASS,Shuffled F0 is clearly below native naturalness.
low_f0_coverage,f0_counterfactual,JVS timing/content with sparse F0,pass,overall_capped_pitch_unavailable,visible,visible,visible_if_timing_evidence,pitch_unavailable,音高情報が不足しています,component-level/semi-audio control,low_f0_coverage_control,pass with evidence cap,overall capped=24/24; pitch unavailable,unavailable,24,,,PASS,Insufficient F0 hides pitch and caps overall practice feedback.
wrong_japanese_or_content_mismatch,synthetic_policy_control,content mismatch veto,veto,no_scores,hidden,hidden,hidden,hidden,練習文との内容一致を確認できません,free-speech confirmed text is not target-matched fixed-reference,content mismatch policy fixture,veto,no scores,hidden,1,,,PASS,Content-mismatch veto suppresses formal user-facing dimensions.
