case_id,input_class,provider_slot,result_source,external_provider_called,target_text,expected_spoken_text,transcript,language,asr_confidence,transcript_exact_normalized,transcript_kana,kana_similarity,japanese_likeness,mora_count,content_gate_status,content_gate_reason,weak_score_visibility_now,weak_score_visibility_if_user_confirms_unchanged,no_score_correct,false_accept_bad_input_if_confirmed,false_reject_good_japanese,hallucination_risk,word_timestamps_available,alignment_usefulness,feedback_location_may_improve,notes
native_japanese_normal,good_japanese,current_asr,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,normal native sentence
native_japanese_normal,good_japanese,oracle_transcript,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,normal native sentence
native_japanese_normal,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,normal native sentence
native_japanese_normal,good_japanese,whisperx_alignment,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,normal native sentence
native_japanese_normal,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,normal native sentence
native_japanese_normal,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,今日はいい天気です,今日はいい天気です,今日はいい天気です,ja,,True,キョーワイイテンキデス,1.0,1.0,10,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,normal native sentence
learner_japanese_normal,good_japanese,current_asr,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,learner content is intelligible
learner_japanese_normal,good_japanese,oracle_transcript,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,learner content is intelligible
learner_japanese_normal,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,learner content is intelligible
learner_japanese_normal,good_japanese,whisperx_alignment,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,learner content is intelligible
