utterance_id,target_text,target_kana,mora_count,reference_speaker,user_speaker,case_name,eval_path,mode,prosody_score,pronunciation_score,fluency_score,total_score,pitch_target_source,pitch_target_reliability,content_match_status,content_verified,alignment_mode,f0_coverage,contour_corr,transition_agreement,accent_drop_match,final_intonation_score,notes,user_facing_status,display_score,practice_score_value,visible_prosody_score,prosody_score_visible,suppressed_reasons,tone_score_in_core_four,test_only_cache_prefix,sidecar_reliable,sidecar_reference_source,pair_id,reference_audio_path,user_audio_path,content_status,hl_match,component_contour,component_transition,component_hl,component_final,unavailable_reason,low_f0_unavailable
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,verified_jvs_sidecar_fixed_reference,evaluator,fixed_reference,87,80,98,87,reference_audio_f0_cache,reliable,pass,True,cached_dtw_fallback_equal,0.95,0.89,0.8835,0.0,75,test-only JVS sidecar; evaluator path should read reference_audio_f0_cache,pass,,,,False,fallback_alignment;shadow_mode_user_facing_disabled;debug_only_by_profile;missing_or_invalid_threshold_metadata,no,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/results/test_fixtures/jvs_verified_pitch_demo/jvs001_VOICEACTRESS100_014,yes,test_only_jvs_native_reference,,,,,,,,,,,
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,same_audio_text_openjtalk_evaluator_baseline,evaluator,text_openjtalk_baseline,81,80,98,85,openjtalk_accent_phrase_chain,heuristic,unknown,False,dtw,0.95,0.6595,0.7961,1.0,100,same user audio without fixed-reference cache; OpenJTalk target baseline,pass,93,93,,False,mode_not_allowed_by_profile;debug_only_by_profile;missing_or_invalid_threshold_metadata,no,,,,,,,,,,,,,,
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,native_cross_speaker_reference_audio_f0_cache,semi_audio_lab_f0,native_cross_speaker_reference_audio_f0_cache,88,,,,reference_audio_f0_cache,reliable,,,lab_phone_mora,1.0,0.8615258474579666,0.8144329896907215,,100,speaker B native F0 against speaker A verified reference F0,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,0.95,0.8821267797027086,0.8144329896907215,0.95,1.0,,no
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,native_cross_speaker_openjtalk_target,semi_audio_lab_f0,native_cross_speaker_openjtalk_target,75,,,,openjtalk_accent_phrase_chain,heuristic,,,lab_phone_mora,1.0,0.5226611935291325,0.7053571428571427,0.0,100,same native F0 scored against OpenJTalk target,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,0.7,0.7147621995237159,0.7053571428571427,0.7,1.0,,no
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,flat_pitch_correct_content,semi_audio_lab_f0,flat_pitch_correct_content,51,,,,reference_audio_f0_cache,reliable,,,lab_phone_mora,1.0,0.0,0.4742268041237113,,45,same content/timing with flattened F0,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,0.5,0.5319592013473126,0.4742268041237113,0.5,0.45,,no
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,shuffled_random_pitch_correct_content,semi_audio_lab_f0,shuffled_random_pitch_correct_content,60,,,,reference_audio_f0_cache,reliable,,,lab_phone_mora,1.0,0.18179141773665117,0.7216494845360825,,45,same content/timing with shuffled F0,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,0.65,0.5718760195960358,0.7216494845360825,0.65,0.45,,no
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,wrong_accent_drop_correct_content,semi_audio_lab_f0,wrong_accent_drop_correct_content,88,,,,reference_audio_f0_cache,reliable,,,lab_phone_mora,1.0,0.8568676727052291,0.8144329896907215,,100,same content/timing with accent-drop counterfactual when available,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,0.95,0.8794865329340403,0.8144329896907215,0.95,1.0,,no
VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,クイーンズアベニューアルファニショゾクシテイル,20,jvs001,jvs002,low_f0_coverage_correct_content,semi_audio_lab_f0,low_f0_coverage_correct_content,50,,,,reference_audio_f0_cache,reliable,,,lab_phone_mora,0.1,,,,,same content/timing with insufficient F0 coverage,,,,,,,no,,,,jvs001->jvs002:VOICEACTRESS100_014,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,same_transcript_control,,,,,,insufficient_valid_mora_f0,yes
VOICEACTRESS100_091,同母姉に、スウェーデン王妃、ジョゼフィーヌがいる。,ドーボアネニスウェーデンオーヒジョゼフィーヌガイル,22,jvs001,jvs002,verified_jvs_sidecar_fixed_reference,evaluator,fixed_reference,84,80,100,87,reference_audio_f0_cache,reliable,pass,True,cached_dtw_fallback_equal,0.6818,0.7471,0.9552,0.5,75,test-only JVS sidecar; evaluator path should read reference_audio_f0_cache,pass,,,,False,fallback_alignment;shadow_mode_user_facing_disabled;debug_only_by_profile,no,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/results/test_fixtures/jvs_verified_pitch_demo/jvs001_VOICEACTRESS100_091,yes,test_only_jvs_native_reference,,,,,,,,,,,
VOICEACTRESS100_091,同母姉に、スウェーデン王妃、ジョゼフィーヌがいる。,ドーボアネニスウェーデンオーヒジョゼフィーヌガイル,22,jvs001,jvs002,same_audio_text_openjtalk_evaluator_baseline,evaluator,text_openjtalk_baseline,70,75,100,79,openjtalk_accent_phrase_chain,heuristic,unknown,False,dtw,0.7273,0.4307,0.8889,1.0,45,same user audio without fixed-reference cache; OpenJTalk target baseline,pass,92,92,,False,mode_not_allowed_by_profile;debug_only_by_profile,no,,,,,,,,,,,,,,
