sample_id,speaker,wav_sentence_id,target_sentence_id,is_correct_target,duration_ratio,wav_path,cache_path,system,cold,latency_sec,status,verification_level,legacy_would_verify,content_verified,kana_similarity,transcript,note
correct_001,jvs002,1,1,True,0.97778,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_002,jvs003,2,2,True,1.26755,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_002/ref_jvs001_8c1c3bb172,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_003,jvs002,3,3,True,1.10845,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_003/ref_jvs001_294466d72d,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_004,jvs003,4,4,True,1.25847,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_004/ref_jvs001_1dc1b21560,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_005,jvs002,5,5,True,1.01287,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_005/ref_jvs001_97b65d9963,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_006,jvs003,6,6,True,1.40517,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_006.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_006/ref_jvs001_87e6a49451,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_007,jvs002,7,7,True,1.04623,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_007.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_007/ref_jvs001_2602299ec5,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_008,jvs003,8,8,True,1.23743,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_008.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_008/ref_jvs001_ee92f46212,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_009,jvs002,9,9,True,1.14054,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_009.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_009/ref_jvs001_c34c5ddc46,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_010,jvs003,10,10,True,1.39041,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_010.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_010/ref_jvs001_24c391d47a,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_011,jvs002,11,11,True,1.15819,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_011.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_011/ref_jvs001_178d6ef9ea,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_012,jvs003,12,12,True,1.3251,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_012.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_012/ref_jvs001_4545d3cb27,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_013,jvs002,13,13,True,1.2103,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_013.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_013/ref_jvs001_708b77439b,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_014,jvs003,14,14,True,1.45246,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_014.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_014/ref_jvs001_1b671a3265,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_015,jvs002,15,15,True,1.1013,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_015.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_015/ref_jvs001_5228063f1c,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_016,jvs003,16,16,True,1.33075,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_016.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_016/ref_jvs001_c43c761ec8,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_017,jvs002,17,17,True,1.08143,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_017.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_017/ref_jvs001_06de25e250,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_018,jvs003,18,18,True,1.30926,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_018.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_018/ref_jvs001_cd056e864c,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_019,jvs002,19,19,True,1.11594,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_019.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_019/ref_jvs001_efd87f67df,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_020,jvs003,20,20,True,1.31151,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_020.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_020/ref_jvs001_0657239bba,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_021,jvs001,1,1,True,1.12253,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_022,jvs001,2,2,True,1.11528,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_002/ref_jvs001_8c1c3bb172,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_023,jvs001,3,3,True,1.17292,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_003.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_003/ref_jvs001_294466d72d,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_024,jvs001,4,4,True,1.19217,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_004.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_004/ref_jvs001_1dc1b21560,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_025,jvs001,5,5,True,1.08169,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_005.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_005/ref_jvs001_97b65d9963,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_026,jvs001,6,6,True,1.24214,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_006.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_006/ref_jvs001_87e6a49451,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_027,jvs001,7,7,True,1.1194,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_007.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_007/ref_jvs001_2602299ec5,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
correct_028,jvs001,8,8,True,1.12904,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_008.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_008/ref_jvs001_ee92f46212,acoustic_only,False,,pass,acoustic_likely,True,False,0.0,,coarse_acoustic_gate_without_asr
